id,date,message_type,message_content,media_path
665002,2025-02-02T17:40:51+00:00,text,Ff,
665001,2025-02-02T17:40:51+00:00,text,Na na this is urdu buddy,
665000,2025-02-02T17:40:48+00:00,photo,[PHOTO],media/photo_665000.jpg
664999,2025-02-02T17:40:47+00:00,text,Mobile game buddy 😂😂,
664998,2025-02-02T17:40:44+00:00,text,Yep😁,
664997,2025-02-02T17:40:38+00:00,text,Spot,
664996,2025-02-02T17:40:38+00:00,text,Hi It's mili,
664995,2025-02-02T17:40:37+00:00,text,Where BRO,
664994,2025-02-02T17:40:36+00:00,text,Ur,
664993,2025-02-02T17:40:35+00:00,text,Which game buddy??,
664992,2025-02-02T17:40:33+00:00,text,Lets talk in  inglish,
664991,2025-02-02T17:40:25+00:00,sticker,[STICKER] CAADBAADfhgAAji5eFOhuyuu8mKCLAI,media/sticker_664991.webp
664990,2025-02-02T17:40:21+00:00,text,I am using too much sticker 🙂,
664989,2025-02-02T17:40:18+00:00,text,Playing game now as because I'm in 2 days holiday,
664988,2025-02-02T17:40:12+00:00,text,I'm tired to study but not to chatt😂,
664987,2025-02-02T17:40:06+00:00,sticker,[STICKER] CAADBAADGRYAAg7SmFJE9jX4yP6ciwI,media/sticker_664987.webp
664986,2025-02-02T17:40:02+00:00,text,Yeah ofcourse,
664985,2025-02-02T17:39:56+00:00,text,What's up dude,
664984,2025-02-02T17:39:52+00:00,sticker,[STICKER] CAADBAADzhQAAk-I2FMWBFLG04PWFgI,media/sticker_664984.webp
664983,2025-02-02T17:39:51+00:00,text,You go bankura and come but yo did not tired whyyyyy,
664982,2025-02-02T17:39:47+00:00,text,Hello 👋,
664981,2025-02-02T17:39:46+00:00,text,We want next shiba inu 🥲,
664980,2025-02-02T17:39:39+00:00,text,Ops! Should I ??😂,
664979,2025-02-02T17:39:29+00:00,sticker,[STICKER] CAADBAADzhQAAk-I2FMWBFLG04PWFgI,media/sticker_664979.webp
664978,2025-02-02T17:39:29+00:00,text,Uhmm,
664977,2025-02-02T17:39:27+00:00,text,Whyyy,
664976,2025-02-02T17:39:22+00:00,text,Oh funding,
664975,2025-02-02T17:39:21+00:00,sticker,[STICKER] CAADBAADvhgAAsW1MVCzocdWazbDbQI,media/sticker_664975.webp
664974,2025-02-02T17:39:19+00:00,text,Nah,
664973,2025-02-02T17:39:18+00:00,sticker,[STICKER] BAADBQAD2w8AAkS6SFTWs0tx-wWlCQI,media/sticker_664973.webp
664972,2025-02-02T17:39:15+00:00,text,Kha,
664971,2025-02-02T17:39:13+00:00,text,Milu are u tired ??,
664970,2025-02-02T17:39:12+00:00,text,Yeah seems so😂,
664969,2025-02-02T17:39:10+00:00,text,Mexc 🫡,
664968,2025-02-02T17:39:02+00:00,text,All are tired now,
664967,2025-02-02T17:38:57+00:00,text,Go to moon,
664965,2025-02-02T17:38:50+00:00,text,Push buddddy 🌚🌝,
664964,2025-02-02T17:38:40+00:00,text,Where r u all bangladeshi vailogs,
664963,2025-02-02T17:38:39+00:00,text,Wich acc bri,
664962,2025-02-02T17:38:30+00:00,text,Let's push together,
664961,2025-02-02T17:38:15+00:00,sticker,[STICKER] CAADBQADBgQAAuP3iFZkjKzdR_ow-wI,media/sticker_664961.webp
664960,2025-02-02T17:38:14+00:00,text,But rank to barate hb😂,
664959,2025-02-02T17:38:11+00:00,text,45,
664958,2025-02-02T17:37:43+00:00,text,Exactly 💯😂,
664957,2025-02-02T17:37:33+00:00,text,Zenox how much usdt in your acc?,
664956,2025-02-02T17:37:30+00:00,sticker,[STICKER] CAADBAADShcAAngTsFI10a5sGl3A1wI,media/sticker_664956.webp
664954,2025-02-02T17:37:00+00:00,sticker,[STICKER] CAADBQADBgQAAuP3iFZkjKzdR_ow-wI,media/sticker_664954.webp
664953,2025-02-02T17:36:53+00:00,text,@Muaaz_ahmed do u have bidi this time,
664952,2025-02-02T17:36:46+00:00,text,Hello sir 🙂,
664951,2025-02-02T17:36:38+00:00,sticker,[STICKER] CAADAgADogADwZxgDBnYKmqQQ15fAg,media/sticker_664951.webp
664950,2025-02-02T17:36:34+00:00,sticker,[STICKER] CAADBAADGRYAAg7SmFJE9jX4yP6ciwI,media/sticker_664950.webp
664949,2025-02-02T17:36:30+00:00,text,Exam is coming and I am playing ff and do chatting here 😭,
664948,2025-02-02T17:36:04+00:00,text,Meanwhile,
664947,2025-02-02T17:35:42+00:00,text,Seems like you are so happy now 😁,
664946,2025-02-02T17:35:40+00:00,text,keep support💪,
664945,2025-02-02T17:35:35+00:00,sticker,[STICKER] CAADBQADOQgAAq5q6FUHmn1BUvZfDgI,media/sticker_664945.webp
664944,2025-02-02T17:35:24+00:00,text,Haha push your rank to the moon,
664943,2025-02-02T17:35:22+00:00,sticker,[STICKER] CAADBAADZhQAAtei2VJAyb9RqB_zbgI,media/sticker_664943.webp
664942,2025-02-02T17:35:02+00:00,text,Lift to the moon 🌙🌝,
664941,2025-02-02T17:34:56+00:00,file,[FILE] -2147483648_-210104.jpg,media/doc_664941.bin
664940,2025-02-02T17:34:49+00:00,text,Push budddy,
664939,2025-02-02T17:34:42+00:00,text,Thanks sir. For not to come again😂,
