timestamp,group_name,username,message_type,message_content,media_path
2024-12-24T15:35:11+00:00,@LSMM8,BTC1357900,text,"Hello everyone, how is your work today? I want to share with you😉😉",
2024-12-23T19:19:15+00:00,@LSMM8,BTC1357900,text,Hello,
2024-12-23T14:52:55+00:00,@LSMM8,BTC1357900,text,Wishing you a happy new week💪💪💪,
2024-12-23T14:20:40+00:00,@LSMM8,BTC1357900,text,"Good evening everyone, a new week of work has begun, so tired😔😔",
2024-12-23T14:11:33+00:00,@LSMM8,BTC1357900,text,"Good evening everyone, a new week of work has begun, so tired😔😔",
2024-12-22T16:10:53+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-22T05:22:25+00:00,@LSMM8,BTC1357900,text,Asalamalekium 🙏,
2024-12-21T15:03:03+00:00,@LSMM8,BTC1357900,text,"It's the weekend, find a friend to chat and relax😌😌😌",
2024-12-21T15:00:22+00:00,@LSMM8,BTC1357900,text,I wish you all a happy weekend and have a good time❤️,
2024-12-21T14:26:08+00:00,@LSMM8,BTC1357900,text,"Happy weekend everyone, have a great day🥳🥳🥳",
2024-12-21T09:57:03+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-20T14:59:11+00:00,@LSMM8,BTC1357900,text,"I will take a rest tomorrow, find a friend to chat and send my previous mood🙈🙈",
2024-12-19T14:54:56+00:00,@LSMM8,BTC1357900,text,Anyone wanna talk?🤔🤔,
2024-12-19T13:24:29+00:00,@LSMM8,BTC1357900,text,"Another beautiful day has passed, I need someone to talk to😊",
2024-12-19T08:33:24+00:00,@LSMM8,BTC1357900,text,Hello,
2024-12-19T05:20:15+00:00,@LSMM8,BTC1357900,text,Hello,
2024-12-18T17:05:38+00:00,@LSMM8,BTC1357900,text,Assalamualaikum,
2024-12-18T15:28:01+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-18T14:47:34+00:00,@LSMM8,BTC1357900,text,I hope you all have a good time and chat together.☺️☺️,
2024-12-18T14:37:11+00:00,@LSMM8,BTC1357900,text,"Another beautiful day has passed, I need someone to talk to🙈🙈",
2024-12-17T14:56:38+00:00,@LSMM8,BTC1357900,text,What are you talking about?☺️☺️☺️,
2024-12-17T14:38:37+00:00,@LSMM8,BTC1357900,text,"Hi, where are you friends?",
2024-12-17T14:34:54+00:00,@LSMM8,BTC1357900,text,"Good evening, how are you today, is everything ok? ❤️❤️",
2024-12-17T12:31:01+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-16T17:53:39+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-16T17:14:58+00:00,@LSMM8,BTC1357900,text,Hello,
2024-12-16T14:48:50+00:00,@LSMM8,BTC1357900,text,How is everyone's work today? Is there anything you want to talk about?💪💪,
2024-12-16T14:46:58+00:00,@LSMM8,BTC1357900,text,"Good evening, haven't you all gone to bed yet?",
2024-12-16T14:46:50+00:00,@LSMM8,BTC1357900,text,Is there anyone who wants to chat?😜😜,
2024-12-16T14:22:38+00:00,@LSMM8,BTC1357900,text,Is your work going well today?❤️❤️,
2024-12-14T15:23:24+00:00,@LSMM8,BTC1357900,text,"Baby, our friendship doesn’t need any words",
2024-12-14T14:59:49+00:00,@LSMM8,BTC1357900,text,"Have a nice weekend, how are you today?❤️❤️",
2024-12-14T10:36:04+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-13T11:02:58+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-13T02:44:27+00:00,@LSMM8,BTC1357900,text,Hello,
2024-12-13T01:18:18+00:00,@LSMM8,BTC1357900,text,Hello,
2024-12-12T12:24:04+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-12T11:09:26+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-12T08:09:05+00:00,@LSMM8,BTC1357900,text,Alaikum salam,
2024-12-11T10:37:22+00:00,@LSMM8,BTC1357900,text,Good afternoon everyone,
2024-12-11T10:11:14+00:00,@LSMM8,BTC1357900,text,Hello,
2024-12-11T05:31:48+00:00,@LSMM8,BTC1357900,text,Hi everyone! Hope you all have a good day!,
2024-12-11T00:55:34+00:00,@LSMM8,BTC1357900,text,I'm Looking forward to gain knowledge,
2024-12-10T19:08:40+00:00,@LSMM8,BTC1357900,text,Can't sleep,
2024-12-10T17:19:27+00:00,@LSMM8,BTC1357900,text,"Good night, guys.",
2024-12-10T16:22:40+00:00,@LSMM8,BTC1357900,text,Good evening buddy,
2024-12-10T16:20:52+00:00,@LSMM8,BTC1357900,text,"Good night! Take care of yourself, tomorrow will be better!",
2024-12-10T15:10:57+00:00,@LSMM8,BTC1357900,text,Assalamualaikum,
2024-12-10T12:00:34+00:00,@LSMM8,BTC1357900,text,I'm Looking forward to gain knowledge,
2024-12-10T09:18:31+00:00,@LSMM8,BTC1357900,text,"Don't wait for opportunities to succeed, create them",
2024-12-10T08:47:28+00:00,@LSMM8,BTC1357900,text,Hey. How are you guys doing today?,
2024-12-10T08:36:57+00:00,@LSMM8,BTC1357900,text,Assalamu Alaikum,
2024-12-10T03:52:16+00:00,@LSMM8,BTC1357900,text,"It uses a decentralized order book and a new algorithm model, which makes the market more liquid and trading more efficient.",
2024-12-10T03:52:14+00:00,@LSMM8,BTC1357900,text,How did Genesis manage that? What’s special about it?,
2024-12-10T03:49:16+00:00,@LSMM8,BTC1357900,text,"Yes, overall liquidity has improved by 160% to 10,000%, far exceeding Uniswap.",
2024-12-10T03:44:47+00:00,@LSMM8,BTC1357900,text,An increase of 60% in liquidity? That’s huge! Will trading be smoother with this?,
2024-12-10T03:44:34+00:00,@LSMM8,BTC1357900,text,🚀🚀🚀,
2024-12-10T03:42:05+00:00,@LSMM8,BTC1357900,text,"Exactly, especially in the new coin market. Genesis enhances liquidity with its algorithm, increasing liquidity by up to 60%.",
2024-12-10T03:37:01+00:00,@LSMM8,BTC1357900,text,So its algorithm can improve liquidity? How does it work?,
2024-12-10T03:34:28+00:00,@LSMM8,BTC1357900,text,"Genesis segments the DEX market into new coin markets, mainstream coin markets, and stablecoin markets, each supported by different algorithms.",
2024-12-10T03:31:12+00:00,@LSMM8,BTC1357900,text,Oh? A decentralized exchange? How is it different from Uniswap?,
2024-12-10T03:28:00+00:00,@LSMM8,BTC1357900,file,[FILE] money-rich.gif.mp4,media/video_49305.mp4
2024-12-10T03:27:58+00:00,@LSMM8,BTC1357900,file,[FILE] jul-juld.gif.mp4,media/video_49304.mp4
2024-12-10T03:26:24+00:00,@LSMM8,BTC1357900,text,"Have you heard of Genesis? It’s the next generation of decentralized exchanges, and it sounds powerful.",
2024-12-10T03:24:04+00:00,@LSMM8,BTC1357900,text,I'm very confused.,
2024-12-10T03:20:40+00:00,@LSMM8,BTC1357900,text,I just said sorry please,
2024-12-10T03:16:09+00:00,@LSMM8,BTC1357900,text,O yeah! It's obviously going to be soon,
2024-12-10T03:12:38+00:00,@LSMM8,BTC1357900,sticker,[STICKER] BAADBAAD3RMAAsDYoVIaebKegwNDnQI,media/sticker_49299.webp
2024-12-10T03:12:16+00:00,@LSMM8,BTC1357900,text,It's happening very soon,
2024-12-10T03:12:15+00:00,@LSMM8,BTC1357900,text,"Nice, i can see it already",
2024-12-10T03:08:13+00:00,@LSMM8,BTC1357900,text,I think we have started to moon🚀,
2024-12-10T03:03:17+00:00,@LSMM8,BTC1357900,text,Yeah,
2024-12-10T03:00:49+00:00,@LSMM8,BTC1357900,text,Hi👋,
2024-12-10T02:57:27+00:00,@LSMM8,BTC1357900,text,Hello everyone👋,
2024-12-10T02:56:17+00:00,@LSMM8,BTC1357900,file,[FILE] gi22phy.mp4,media/video_49292.mp4
2024-12-10T02:52:44+00:00,@LSMM8,BTC1357900,text,👋,
2024-12-10T02:52:42+00:00,@LSMM8,BTC1357900,text,Hi👋,
2024-12-10T02:48:56+00:00,@LSMM8,BTC1357900,text,Okay I will try,
2024-12-10T02:43:50+00:00,@LSMM8,BTC1357900,text,Metaverse and the P2E gaming ecosystem will play a huge role in the big run coming,
2024-12-10T02:40:24+00:00,@LSMM8,BTC1357900,sticker,[STICKER] CAADBQADiQMAAukKyAPZH7wCI2BwFwI,media/sticker_49287.webp
2024-12-10T02:40:05+00:00,@LSMM8,BTC1357900,text,Thanks,
2024-12-10T02:35:25+00:00,@LSMM8,BTC1357900,text,Could you please expanciate  further,
2024-12-10T02:31:42+00:00,@LSMM8,BTC1357900,text,I was also wondering what is hapening,
2024-12-10T02:31:41+00:00,@LSMM8,BTC1357900,text,I believe there won't be disappointment. All we need to do is to follow up with the process,
